,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,LastName,cabin_proper,multiple_cabin,family_memb_count,has_family,friends_count,has_friend,no_fam_friend,has_master_miss,age_grp
8,546,0,1,"Nicholson, Mr. Arthur Ernest",male,64,0,0,693,26,not_assigned,S,Nicholson,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,8
16,873,0,1,"Carlsson, Mr. Frans Olof",male,33,0,0,695,5,B51 B53 B55,S,Carlsson,FALSE,TRUE,1,FALSE,1,FALSE,TRUE,FALSE,5
27,75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,not_assigned,S,Bing,FALSE,FALSE,1,FALSE,7,TRUE,FALSE,FALSE,5
38,170,0,3,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,not_assigned,S,Ling,FALSE,FALSE,1,FALSE,7,TRUE,FALSE,FALSE,5
49,510,1,3,"Lang, Mr. Fang",male,26,0,0,1601,56.4958,not_assigned,S,Lang,FALSE,FALSE,1,FALSE,7,TRUE,FALSE,FALSE,5
60,644,1,3,"Foo, Mr. Choong",male,30.48142857,0,0,1601,56.4958,not_assigned,S,Foo,FALSE,FALSE,1,FALSE,7,TRUE,FALSE,FALSE,5
71,693,1,3,"Lam, Mr. Ali",male,33.74828571,0,0,1601,56.4958,not_assigned,S,Lam,FALSE,FALSE,2,TRUE,7,FALSE,FALSE,FALSE,5
82,827,0,3,"Lam, Mr. Len",male,34.332,0,0,1601,56.4958,not_assigned,S,Lam,FALSE,FALSE,2,TRUE,7,FALSE,FALSE,FALSE,5
93,839,1,3,"Chip, Mr. Chang",male,32,0,0,1601,56.4958,not_assigned,S,Chip,FALSE,FALSE,1,FALSE,7,TRUE,FALSE,FALSE,5
104,427,1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28,1,0,2003,26,not_assigned,S,Clarke,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
113,835,0,3,"Allum, Mr. Owen George",male,18,0,0,2223,8.3,not_assigned,S,Allum,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,3
125,554,1,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22,0,0,2620,7.225,not_assigned,C,Leeni,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
138,662,0,3,"Badt, Mr. Mohamed",male,40,0,0,2623,7.225,not_assigned,C,Badt,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
149,523,0,3,"Lahoud, Mr. Sarkis",male,35.17305952,0,0,2624,7.225,not_assigned,C,Lahoud,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
154,804,1,3,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,not_assigned,C,Thomas,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,0
169,368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,21.59705952,0,0,2626,7.2292,not_assigned,C,Moussa,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
179,115,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,not_assigned,C,Attalah,FALSE,FALSE,1,FALSE,2,TRUE,FALSE,TRUE,3
192,496,0,3,"Yousseff, Mr. Gerious",male,28.14,0,0,2627,14.4583,not_assigned,C,Yousseff,FALSE,FALSE,1,FALSE,2,TRUE,FALSE,FALSE,5
205,204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,not_assigned,C,Youseff,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,7
214,860,0,3,"Razi, Mr. Raihed",male,26.51886093,0,0,2629,7.2292,not_assigned,C,Razi,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
226,27,0,3,"Emir, Mr. Farred Chehab",male,35.17305952,0,0,2631,7.225,not_assigned,C,Emir,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
236,532,0,3,"Toufik, Mr. Nakli",male,26.51886093,0,0,2641,7.2292,not_assigned,C,Toufik,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
248,355,0,3,"Yousif, Mr. Wazli",male,35.17305952,0,0,2647,7.225,not_assigned,C,Yousif,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
257,379,0,3,"Betros, Mr. Tannous",male,20,0,0,2648,4.0125,not_assigned,C,Betros,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
268,20,1,3,"Masselmani, Mrs. Fatima",female,24.22754167,0,0,2649,7.225,not_assigned,C,Masselmani,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
280,256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,not_assigned,C,Touma,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
288,40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,not_assigned,C,Nicola-Yarred,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,2
299,126,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,not_assigned,C,Nicola-Yarred,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,2
308,382,1,3,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,2653,15.7417,not_assigned,C,Nakid,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,0
323,623,1,3,"Nakid, Mr. Sahid",male,20,1,1,2653,15.7417,not_assigned,C,Nakid,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,4
335,621,0,3,"Yasbeck, Mr. Antoni",male,27,1,0,2659,14.4542,not_assigned,C,Yasbeck,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,5
344,831,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15,1,0,2659,14.4542,not_assigned,C,Yasbeck,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,3
353,66,1,3,"Moubarek, Master. Gerios",male,4.752764286,1,1,2661,15.2458,not_assigned,C,Moubarek,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,1
364,710,1,3,"Moubarek, Master. Halim Gonios (""William George"")",male,4.752764286,1,1,2661,15.2458,not_assigned,C,Moubarek,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,1
379,49,0,3,"Samaan, Mr. Youssef",male,31.33283333,2,0,2662,21.6792,not_assigned,C,Samaan,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
389,763,1,3,"Barah, Mr. Hanna Assi",male,20,0,0,2663,7.2292,not_assigned,C,Barah,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
402,599,0,3,"Boulos, Mr. Hanna",male,35.17305952,0,0,2664,7.225,not_assigned,C,Boulos,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
410,112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,not_assigned,C,Zabour,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,3
421,241,0,3,"Zabour, Miss. Thamine",female,17.05,1,0,2665,14.4542,not_assigned,C,Zabour,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,3
430,449,1,3,"Baclini, Miss. Marie Catherine",female,5,2,1,2666,19.2583,not_assigned,C,Baclini,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,TRUE,1
440,470,1,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,not_assigned,C,Baclini,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,TRUE,0
451,645,1,3,"Baclini, Miss. Eugenie",female,0.75,2,1,2666,19.2583,not_assigned,C,Baclini,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,TRUE,0
466,859,1,3,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24,0,3,2666,19.2583,not_assigned,C,Baclini,FALSE,FALSE,4,TRUE,4,FALSE,FALSE,FALSE,4
476,876,1,3,"Najib, Miss. Adele Kiamie ""Jane""",female,15,0,0,2667,7.225,not_assigned,C,Najib,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,3
485,129,1,3,"Peter, Miss. Anna",female,4.628825,1,1,2668,22.3583,F E69,C,Peter,FALSE,TRUE,2,TRUE,2,FALSE,FALSE,TRUE,1
500,534,1,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,32.98,0,2,2668,22.3583,not_assigned,C,Peter,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,5
510,61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,not_assigned,C,Sirayanian,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
522,833,0,3,"Saad, Mr. Amin",male,26.51886093,0,0,2671,7.2292,not_assigned,C,Saad,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
532,694,0,3,"Saad, Mr. Khalil",male,25,0,0,2672,7.225,not_assigned,C,Saad,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
545,774,0,3,"Elias, Mr. Dibo",male,35.17305952,0,0,2674,7.225,not_assigned,C,Elias,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,6
554,37,1,3,"Mamee, Mr. Hanna",male,21.59705952,0,0,2677,7.2292,not_assigned,C,Mamee,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
566,141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,34.7075,0,2,2678,15.2458,not_assigned,C,Boulos,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,5
574,853,0,3,"Boulos, Miss. Nourelain",female,9,1,1,2678,15.2458,not_assigned,C,Boulos,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,2
588,74,0,3,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,not_assigned,C,Chronopoulos,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
599,844,0,3,"Lemberopolous, Mr. Peter L",male,34.5,0,0,2683,6.4375,not_assigned,C,Lemberopolous,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
610,799,0,3,"Ibrahim Shawah, Mr. Yousseff",male,30,0,0,2685,7.2292,not_assigned,C,Ibrahim Shawah,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
621,569,0,3,"Doharr, Mr. Tannous",male,26.51886093,0,0,2686,7.2292,not_assigned,C,Doharr,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
629,781,1,3,"Ayoub, Miss. Banoura",female,13,0,0,2687,7.2292,not_assigned,C,Ayoub,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,TRUE,2
643,579,0,3,"Caram, Mrs. Joseph (Maria Elias)",female,31.951,1,0,2689,14.4583,not_assigned,C,Caram,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
652,533,0,3,"Elias, Mr. Joseph Jr",male,17,1,1,2690,7.2292,not_assigned,C,Elias,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,3
666,363,0,3,"Barbara, Mrs. (Catherine David)",female,45,0,1,2691,14.4542,not_assigned,C,Barbara,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,FALSE,6
674,703,0,3,"Barbara, Miss. Saiide",female,18,0,1,2691,14.4542,not_assigned,C,Barbara,FALSE,FALSE,2,TRUE,2,FALSE,FALSE,TRUE,3
686,297,0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,not_assigned,C,Hanna,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,4
698,245,0,3,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,not_assigned,C,Attalah,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
707,353,0,3,"Elias, Mr. Tannous",male,15,1,1,2695,7.2292,not_assigned,C,Elias,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,3
720,58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,not_assigned,C,Novel,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
731,208,1,3,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,18.7875,not_assigned,C,Albimona,FALSE,FALSE,1,FALSE,2,TRUE,FALSE,FALSE,5
739,732,0,3,"Hassan, Mr. Houssein G N",male,11,0,0,2699,18.7875,not_assigned,C,Hassan,FALSE,FALSE,1,FALSE,2,TRUE,FALSE,FALSE,2
753,525,0,3,"Kassem, Mr. Fared",male,26.51886093,0,0,2700,7.2292,not_assigned,C,Kassem,FALSE,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,5
